Scopus refine results values

"Your query : (AFFILCOUNTRY(Japan AND Viet*) AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( PUBSTAGE,""final"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( EXCLUDE ( PUBYEAR,2025) OR EXCLUDE ( PUBYEAR,2026) ) )"


Number of results : 9982

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Tabarés-Seisdedos, R.","60",,,,,,,"Journal of Advanced Research in Dynamical and Control Systems","11","Nanoparticles","95","Università degli Studi di Napoli Federico II","125","H2020 Marie Skłodowska-Curie Actions","20","Burundi","20",,,,
,,,,"Topor-Madry, R.","60",,,,,,,"Journal of Bioscience and Bioengineering","11","Public Health","95","Japan Science and Technology Agency","123","Kasturba Medical College, Manipal","20","Macao","20",,,,
,,,,"Ullah, I.","60",,,,,,,"Journal of General Virology","11","Bacterial Strain","94","Sapienza Università di Roma","123","Korea Astronomy and Space Science Institute","20","Suriname","18",,,,
,,,,"Vollset, S.E.","60",,,,,,,"Journal of Natural Medicines","11","Gene Mutation","94","Haramaya University","123","Max-Planck-Gesellschaft","20","Belarus","17",,,,
,,,,"Yano, Y.","60",,,,,,,"Journal of Physics Condensed Matter","11","Soils","94","Mekelle University","123","Nagoya University","20","French Guiana","17",,,,
,,,,"Bennett, D.A.","59",,,,,,,"Lancet Neurology","11","Animalia","93","Vietnam Military Medical University","123","Thammasat University","20","Gabon","17",,,,
,,,,"Ghashghaee, A.","59",,,,,,,"Microbiology Resource Announcements","11","Drug Effects","93","Korea University","122","Vetenskapsrådet","20","Solomon Islands","17",,,,
,,,,"Lotufo, P.A.","59",,,,,,,"Peerj","11","Immunohistochemistry","93","Helsinki University Hospital","122","amfAR, The Foundation for AIDS Research","20","Somalia","17",,,,
,,,,"Mirrakhimov, E.M.","59",,,,,,,"Physical Review B","11","Systematic Review","93","Mazandaran University of Medical Sciences","122","Đại học Quốc gia Hà Nội","20","Honduras","15",,,,
,,,,"Oh, I.H.","59",,,,,,,"Sensors and Actuators A Physical","11","Enzyme Activity","91","University of Technology Sydney","122","Asian Institute of Technology","19","Angola","14",,,,
,,,,"Pana, A.","59",,,,,,,"Vietnam Journal of Science and Technology","11","Blood Sampling","90","National Institute for Environmental Studies of Japan","122","King's College London","19","Nicaragua","14",,,,
,,,,"Zhang, Z.J.","59",,,,,,,"Water Air and Soil Pollution","11","Carbon","90","Universidad Nacional Autónoma de México","122","National Institute of Environmental Health Sciences","19","Haiti","12",,,,
,,,,"Ahmed, M.B.","58",,,,,,,"World Journal of Men S Health","11","Outcome Assessment","90","Emory University","121","Roche","19","Belize","11",,,,
,,,,"Aljunid, S.M.","58",,,,,,,"Aerosol and Air Quality Research","10","Pandemic","90","University of Bern","121","Secretaria Nacional de Ciencia y Tecnología","19","Mali","11",,,,
,,,,"Bikbov, B.","58",,,,,,,"Agriculture Switzerland","10","Silica","90","Alma Mater Studiorum Università di Bologna","121","Takeda Pharmaceutical Company","19","Niger","11",,,,
